n,r,m
"(:Author {name: Gonzalo Alba,affiliation_id: 60016476})",[:WROTE],"(:Paper {journal: Journal of Alloys and Compounds,year: 2024,title: Systematic approach for high piezoelectric AlN deposition,isOpenAccess: true,doi: 10.1016/j.jallcom.2024.176723})"
"(:Author {name: Des Gibson,affiliation_id: 60097343})",[:AFFILIATED_WITH],"(:Affiliation {country: United Kingdom,name: University of the West of Scotland,affiliation_id: 60097343})"
"(:Author {name: Des Gibson,affiliation_id: 60097343})",[:WROTE],"(:Paper {journal: Journal of Alloys and Compounds,year: 2024,title: Systematic approach for high piezoelectric AlN deposition,isOpenAccess: true,doi: 10.1016/j.jallcom.2024.176723})"
"(:Author {name: Daniel Araujo,affiliation_id: 60016476})",[:AFFILIATED_WITH],"(:Affiliation {country: Spain,name: Universidad de Cádiz,affiliation_id: 60016476})"
"(:Author {name: Daniel Araujo,affiliation_id: 60016476})",[:WROTE],"(:Paper {journal: Journal of Alloys and Compounds,year: 2024,title: Systematic approach for high piezoelectric AlN deposition,isOpenAccess: true,doi: 10.1016/j.jallcom.2024.176723})"
"(:Composition {property_unit: pC/N,composition: AlN (S1: 400 W, 20:40 Ar:N2),property_value: 5.0})",[:BELONGS_TO],(:Family {name: AlN})
"(:Composition {property_unit: pC/N,composition: AlN (S3: 400 W, 40:40 Ar:N2),property_value: 4.5})",[:BELONGS_TO],(:Family {name: AlN})
"(:Composition {property_unit: pC/N,composition: AlN (S2: 400 W, 40:20 Ar:N2),property_value: 4.5})",[:BELONGS_TO],(:Family {name: AlN})
"(:Paper {journal: Solid State Communications,year: 2024,title: Ferroelectricity enhanced by cerium modified CaBi2Nb2O9-based Aurivillius ferroelectrics,isOpenAccess: false,doi: 10.1016/j.ssc.2024.115705})",[:USES_METHOD],(:Method {name: })
"(:Paper {journal: Solid State Communications,year: 2024,title: Ferroelectricity enhanced by cerium modified CaBi2Nb2O9-based Aurivillius ferroelectrics,isOpenAccess: false,doi: 10.1016/j.ssc.2024.115705})",[:USED_SYNTHESIS_STEPS],(:Step {steps: No steps available})
"(:Paper {journal: Solid State Communications,year: 2024,title: Ferroelectricity enhanced by cerium modified CaBi2Nb2O9-based Aurivillius ferroelectrics,isOpenAccess: false,doi: 10.1016/j.ssc.2024.115705})",[:BELONGS_TO_FAMILY],(:Family {name: Aurivillius ferroelectrics})
"(:Paper {journal: Solid State Communications,year: 2024,title: Ferroelectricity enhanced by cerium modified CaBi2Nb2O9-based Aurivillius ferroelectrics,isOpenAccess: false,doi: 10.1016/j.ssc.2024.115705})",[:MENTIONS],"(:Composition {property_unit: pC/N,composition: La-doped CaBi2Nb2O9,property_value: 21.8})"
"(:Paper {journal: Solid State Communications,year: 2024,title: Ferroelectricity enhanced by cerium modified CaBi2Nb2O9-based Aurivillius ferroelectrics,isOpenAccess: false,doi: 10.1016/j.ssc.2024.115705})",[:MENTIONS],"(:Composition {property_unit: pC/N,composition: Ce-doped CaBi2Nb2O9,property_value: 10.3})"
"(:Paper {journal: Solid State Communications,year: 2024,title: Ferroelectricity enhanced by cerium modified CaBi2Nb2O9-based Aurivillius ferroelectrics,isOpenAccess: false,doi: 10.1016/j.ssc.2024.115705})",[:MENTIONS],"(:Composition {property_unit: pC/N,composition: (Li, Ce)-doped CaBi2Nb2O9,property_value: 18.5})"
"(:Paper {journal: Solid State Communications,year: 2024,title: Ferroelectricity enhanced by cerium modified CaBi2Nb2O9-based Aurivillius ferroelectrics,isOpenAccess: false,doi: 10.1016/j.ssc.2024.115705})",[:MENTIONS],"(:Composition {property_unit: pC/N,composition: CaBi2Nb2O9,property_value: 6})"
"(:Paper {journal: Solid State Communications,year: 2024,title: Ferroelectricity enhanced by cerium modified CaBi2Nb2O9-based Aurivillius ferroelectrics,isOpenAccess: false,doi: 10.1016/j.ssc.2024.115705})",[:HAS_KEYWORD],(:Keyword {name: Charges transfer})
"(:Paper {journal: Solid State Communications,year: 2024,title: Ferroelectricity enhanced by cerium modified CaBi2Nb2O9-based Aurivillius ferroelectrics,isOpenAccess: false,doi: 10.1016/j.ssc.2024.115705})",[:HAS_KEYWORD],(:Keyword {name: Poling})
"(:Paper {journal: Solid State Communications,year: 2024,title: Ferroelectricity enhanced by cerium modified CaBi2Nb2O9-based Aurivillius ferroelectrics,isOpenAccess: false,doi: 10.1016/j.ssc.2024.115705})",[:HAS_KEYWORD],(:Keyword {name: Spontaneous polarization})
"(:Paper {journal: Solid State Communications,year: 2024,title: Ferroelectricity enhanced by cerium modified CaBi2Nb2O9-based Aurivillius ferroelectrics,isOpenAccess: false,doi: 10.1016/j.ssc.2024.115705})",[:HAS_KEYWORD],(:Keyword {name: CaBi2Nb2O9})
"(:Paper {journal: Solid State Communications,year: 2024,title: Ferroelectricity enhanced by cerium modified CaBi2Nb2O9-based Aurivillius ferroelectrics,isOpenAccess: false,doi: 10.1016/j.ssc.2024.115705})",[:HAS_KEYWORD],(:Keyword {name: First principles})
"(:Author {name: Hong Ting Lu,affiliation_id: 60127533})",[:AFFILIATED_WITH],"(:Affiliation {country: China,name: State Key Laboratory of Crystal Materials,affiliation_id: 60127533})"
"(:Author {name: Hong Ting Lu,affiliation_id: 60127533})",[:WROTE],"(:Paper {journal: Solid State Communications,year: 2024,title: Ferroelectricity enhanced by cerium modified CaBi2Nb2O9-based Aurivillius ferroelectrics,isOpenAccess: false,doi: 10.1016/j.ssc.2024.115705})"
"(:Author {name: Ji Chao Li,affiliation_id: 60127533})",[:AFFILIATED_WITH],"(:Affiliation {country: China,name: State Key Laboratory of Crystal Materials,affiliation_id: 60127533})"
"(:Author {name: Ji Chao Li,affiliation_id: 60127533})",[:WROTE],"(:Paper {journal: Solid State Communications,year: 2024,title: Ferroelectricity enhanced by cerium modified CaBi2Nb2O9-based Aurivillius ferroelectrics,isOpenAccess: false,doi: 10.1016/j.ssc.2024.115705})"
"(:Author {name: Jian Liu,affiliation_id: 60127533})",[:AFFILIATED_WITH],"(:Affiliation {country: China,name: State Key Laboratory of Crystal Materials,affiliation_id: 60127533})"
"(:Author {name: Jian Liu,affiliation_id: 60127533})",[:WROTE],"(:Paper {journal: Solid State Communications,year: 2024,title: Ferroelectricity enhanced by cerium modified CaBi2Nb2O9-based Aurivillius ferroelectrics,isOpenAccess: false,doi: 10.1016/j.ssc.2024.115705})"
"(:Author {name: Tian Ci Wu,affiliation_id: 60127533})",[:AFFILIATED_WITH],"(:Affiliation {country: China,name: State Key Laboratory of Crystal Materials,affiliation_id: 60127533})"
"(:Author {name: Tian Ci Wu,affiliation_id: 60127533})",[:WROTE],"(:Paper {journal: Solid State Communications,year: 2024,title: Ferroelectricity enhanced by cerium modified CaBi2Nb2O9-based Aurivillius ferroelectrics,isOpenAccess: false,doi: 10.1016/j.ssc.2024.115705})"
"(:Author {name: Guang Rui Yang,affiliation_id: 60127533})",[:AFFILIATED_WITH],"(:Affiliation {country: China,name: State Key Laboratory of Crystal Materials,affiliation_id: 60127533})"
"(:Author {name: Guang Rui Yang,affiliation_id: 60127533})",[:WROTE],"(:Paper {journal: Solid State Communications,year: 2024,title: Ferroelectricity enhanced by cerium modified CaBi2Nb2O9-based Aurivillius ferroelectrics,isOpenAccess: false,doi: 10.1016/j.ssc.2024.115705})"
"(:Composition {property_unit: pC/N,composition: La-doped CaBi2Nb2O9,property_value: 21.8})",[:BELONGS_TO],(:Family {name: Aurivillius ferroelectrics})
"(:Composition {property_unit: pC/N,composition: Ce-doped CaBi2Nb2O9,property_value: 10.3})",[:BELONGS_TO],(:Family {name: Aurivillius ferroelectrics})
"(:Composition {property_unit: pC/N,composition: (Li, Ce)-doped CaBi2Nb2O9,property_value: 18.5})",[:BELONGS_TO],(:Family {name: Aurivillius ferroelectrics})
"(:Paper {journal: Journal of Alloys and Compounds,year: 2024,title: Low field assisted electrocaloric effect and energy storage responses through optimization of morphotropic phase boundary by sintering temperature for lead-free Ba0.95Ca0.05Sn0.09Ti0.91O3 ceramics,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.176519})",[:USES_METHOD],(:Method {name: sol-gel})
"(:Paper {journal: Journal of Alloys and Compounds,year: 2024,title: Low field assisted electrocaloric effect and energy storage responses through optimization of morphotropic phase boundary by sintering temperature for lead-free Ba0.95Ca0.05Sn0.09Ti0.91O3 ceramics,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.176519})",[:USED_SYNTHESIS_STEPS],"(:Step {steps: - Barium acetate, calcium acetate, and tin acetate were dissolved in 2-ethylhexanoic acid at 80°C until a clear solution was obtained.
- C16H36O4Ti was mixed in the same solvent and added to the previous solution.
- The final solution was stirred and mixed for 1 h at 80°C.
- The solution was dried to obtain BCST powder.
- The BCST powder was calcined at 1000°C for 4 h in a muffle furnace.
- The calcined powder was ground with 5 wt% polyvinyl alcohol (PVA) solution until fine powder was obtained.
- Pellets were prepared by compressing the powder under 5 ton pressure.
- The pellets were sintered at 1100 and 1200°C for 5 h.})"
"(:Paper {journal: Journal of Alloys and Compounds,year: 2024,title: Low field assisted electrocaloric effect and energy storage responses through optimization of morphotropic phase boundary by sintering temperature for lead-free Ba0.95Ca0.05Sn0.09Ti0.91O3 ceramics,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.176519})",[:BELONGS_TO_FAMILY],(:Family {name: BaTiO3})
"(:Paper {journal: Journal of Alloys and Compounds,year: 2024,title: Low field assisted electrocaloric effect and energy storage responses through optimization of morphotropic phase boundary by sintering temperature for lead-free Ba0.95Ca0.05Sn0.09Ti0.91O3 ceramics,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.176519})",[:MENTIONS],"(:Composition {property_unit: pC/N,composition: Ba0.95Ca0.05Sn0.09Ti0.91O3,property_value: 720})"
"(:Paper {journal: Journal of Alloys and Compounds,year: 2024,title: Low field assisted electrocaloric effect and energy storage responses through optimization of morphotropic phase boundary by sintering temperature for lead-free Ba0.95Ca0.05Sn0.09Ti0.91O3 ceramics,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.176519})",[:USED_PRECURSOR],(:Precursor {name: acetic acid})
"(:Paper {journal: Journal of Alloys and Compounds,year: 2024,title: Low field assisted electrocaloric effect and energy storage responses through optimization of morphotropic phase boundary by sintering temperature for lead-free Ba0.95Ca0.05Sn0.09Ti0.91O3 ceramics,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.176519})",[:USED_PRECURSOR],(:Precursor {name: SnO2})
"(:Paper {journal: Journal of Alloys and Compounds,year: 2024,title: Low field assisted electrocaloric effect and energy storage responses through optimization of morphotropic phase boundary by sintering temperature for lead-free Ba0.95Ca0.05Sn0.09Ti0.91O3 ceramics,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.176519})",[:USED_PRECURSOR],(:Precursor {name: C4H6O6})
"(:Paper {journal: Journal of Alloys and Compounds,year: 2024,title: Low field assisted electrocaloric effect and energy storage responses through optimization of morphotropic phase boundary by sintering temperature for lead-free Ba0.95Ca0.05Sn0.09Ti0.91O3 ceramics,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.176519})",[:USED_PRECURSOR],(:Precursor {name: Ba(CH3COO)2})
"(:Paper {journal: Journal of Alloys and Compounds,year: 2024,title: Low field assisted electrocaloric effect and energy storage responses through optimization of morphotropic phase boundary by sintering temperature for lead-free Ba0.95Ca0.05Sn0.09Ti0.91O3 ceramics,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.176519})",[:USED_CHARACTERIZATION_TECHNIQUE],(:CharacterizationTechnique {name: PE Loop test system})
"(:Paper {journal: Journal of Alloys and Compounds,year: 2024,title: Low field assisted electrocaloric effect and energy storage responses through optimization of morphotropic phase boundary by sintering temperature for lead-free Ba0.95Ca0.05Sn0.09Ti0.91O3 ceramics,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.176519})",[:USED_CHARACTERIZATION_TECHNIQUE],(:CharacterizationTechnique {name: XRD})
"(:Paper {journal: Journal of Alloys and Compounds,year: 2024,title: Low field assisted electrocaloric effect and energy storage responses through optimization of morphotropic phase boundary by sintering temperature for lead-free Ba0.95Ca0.05Sn0.09Ti0.91O3 ceramics,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.176519})",[:USED_CHARACTERIZATION_TECHNIQUE],(:CharacterizationTechnique {name: SEM})
"(:Paper {journal: Journal of Alloys and Compounds,year: 2024,title: Low field assisted electrocaloric effect and energy storage responses through optimization of morphotropic phase boundary by sintering temperature for lead-free Ba0.95Ca0.05Sn0.09Ti0.91O3 ceramics,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.176519})",[:USED_CHARACTERIZATION_TECHNIQUE],(:CharacterizationTechnique {name: Raman spectroscopy})
"(:Paper {journal: Journal of Alloys and Compounds,year: 2024,title: Low field assisted electrocaloric effect and energy storage responses through optimization of morphotropic phase boundary by sintering temperature for lead-free Ba0.95Ca0.05Sn0.09Ti0.91O3 ceramics,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.176519})",[:HAS_KEYWORD],(:Keyword {name: Poling})
"(:Paper {journal: Journal of Alloys and Compounds,year: 2024,title: Low field assisted electrocaloric effect and energy storage responses through optimization of morphotropic phase boundary by sintering temperature for lead-free Ba0.95Ca0.05Sn0.09Ti0.91O3 ceramics,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.176519})",[:HAS_KEYWORD],(:Keyword {name: Energy storage})
"(:Paper {journal: Journal of Alloys and Compounds,year: 2024,title: Low field assisted electrocaloric effect and energy storage responses through optimization of morphotropic phase boundary by sintering temperature for lead-free Ba0.95Ca0.05Sn0.09Ti0.91O3 ceramics,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.176519})",[:HAS_KEYWORD],(:Keyword {name: Lead-free})
"(:Paper {journal: Journal of Alloys and Compounds,year: 2024,title: Low field assisted electrocaloric effect and energy storage responses through optimization of morphotropic phase boundary by sintering temperature for lead-free Ba0.95Ca0.05Sn0.09Ti0.91O3 ceramics,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.176519})",[:HAS_KEYWORD],(:Keyword {name: Relaxor})
"(:Paper {journal: Journal of Alloys and Compounds,year: 2024,title: Low field assisted electrocaloric effect and energy storage responses through optimization of morphotropic phase boundary by sintering temperature for lead-free Ba0.95Ca0.05Sn0.09Ti0.91O3 ceramics,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.176519})",[:HAS_KEYWORD],(:Keyword {name: Piezoelectric properties})
"(:Paper {journal: Journal of Alloys and Compounds,year: 2024,title: Low field assisted electrocaloric effect and energy storage responses through optimization of morphotropic phase boundary by sintering temperature for lead-free Ba0.95Ca0.05Sn0.09Ti0.91O3 ceramics,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.176519})",[:HAS_KEYWORD],(:Keyword {name: Ferroelectric ceramics})
"(:Paper {journal: Journal of Alloys and Compounds,year: 2024,title: Low field assisted electrocaloric effect and energy storage responses through optimization of morphotropic phase boundary by sintering temperature for lead-free Ba0.95Ca0.05Sn0.09Ti0.91O3 ceramics,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.176519})",[:HAS_KEYWORD],(:Keyword {name: Lead (geology)})
"(:Paper {journal: Journal of Alloys and Compounds,year: 2024,title: Low field assisted electrocaloric effect and energy storage responses through optimization of morphotropic phase boundary by sintering temperature for lead-free Ba0.95Ca0.05Sn0.09Ti0.91O3 ceramics,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.176519})",[:HAS_KEYWORD],(:Keyword {name: Phase boundary})
"(:Author {name: Sachin Sharma,affiliation_id: 60013164})",[:AFFILIATED_WITH],"(:Affiliation {country: India,name: Himachal Pradesh University,affiliation_id: 60013164})"
"(:Author {name: Sachin Sharma,affiliation_id: 60013164})",[:WROTE],"(:Paper {journal: Journal of Alloys and Compounds,year: 2024,title: Low field assisted electrocaloric effect and energy storage responses through optimization of morphotropic phase boundary by sintering temperature for lead-free Ba0.95Ca0.05Sn0.09Ti0.91O3 ceramics,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.176519})"
"(:Author {name: Revati Nandan,affiliation_id: 60013164})",[:AFFILIATED_WITH],"(:Affiliation {country: India,name: Himachal Pradesh University,affiliation_id: 60013164})"
"(:Author {name: Revati Nandan,affiliation_id: 60013164})",[:WROTE],"(:Paper {journal: Journal of Alloys and Compounds,year: 2024,title: Low field assisted electrocaloric effect and energy storage responses through optimization of morphotropic phase boundary by sintering temperature for lead-free Ba0.95Ca0.05Sn0.09Ti0.91O3 ceramics,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.176519})"
"(:Author {name: Pardeep Malhotra,affiliation_id: 60013164})",[:AFFILIATED_WITH],"(:Affiliation {country: India,name: Himachal Pradesh University,affiliation_id: 60013164})"
"(:Author {name: Pardeep Malhotra,affiliation_id: 60013164})",[:WROTE],"(:Paper {journal: Journal of Alloys and Compounds,year: 2024,title: Low field assisted electrocaloric effect and energy storage responses through optimization of morphotropic phase boundary by sintering temperature for lead-free Ba0.95Ca0.05Sn0.09Ti0.91O3 ceramics,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.176519})"
